date,distance
20/09/2021,8.8
22/09/2021,9.7
24/09/2021,6.1
27/09/2021,2.9
29/09/2021,6.8
01/10/2021,2.9
04/10/2021,7.5
06/10/2021,10.5
08/10/2021,5.7
11/10/2021,4.4
12/10/2021,6.7
13/10/2021,9.4
18/10/2021,5.4
19/10/2021,12.2
20/10/2021,12.4
01/11/2021,11.4
02/11/2021,10.4
03/11/2021,7.2
04/11/2021,8.7
05/11/2021,6.2
09/11/2021,8.4
15/11/2021,11
16/11/2021,8.7
19/11/2021,3.8
22/11/2021,11.3
23/11/2021,4.1
24/11/2021,3.4
25/11/2021,9.9
26/11/2021,6.2
29/11/2021,7.8
02/12/2021,4.8
09/12/2021,6.8
10/12/2021,5.7
24/01/2022,5.2
25/01/2022,5.9
27/01/2022,8.7
28/01/2022,11.6
31/01/2022,8.5
01/02/2022,3.9
02/02/2022,2.2
03/02/2022,6.4
04/02/2022,9.2
08/02/2022,6.1
10/02/2022,7.3
11/02/2022,4.6
15/02/2022,12
16/02/2022,6.2
17/02/2022,6.3
18/02/2022,4
21/02/2022,9.6
22/02/2022,5.5
23/02/2022,9.4
24/03/2022,5.8
01/03/2022,6.6
03/03/2022,10.9
04/03/2022,5.4
10/03/2022,5.2
15/03/2022,10.2
22/03/2022,5.7
24/03/2022,9.1
25/03/2022,9.1
29/03/2022,10.6
